Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Электрические,6,3,,,326,Напряжение (до),,,,,,Напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,4,03/22/2022,,327,"Напряжение лампы, В",,,,,,Напряжение лампы,"Напряжение питания лампы, В",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,5,,,328,Напряжение лампы (до),,,,,,Напряжение лампы (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,6,,53,329,"Мощность ламп, Вт",Мощность,Мощность,"Мощность лампы (Max), Вт","Мощность, W",,Мощность лампы,"Максимальная мощность лампы, Вт",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,6,,,,"Мощность ламп, Вт",,,,,,Макс. мощность лампы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,7,03/22/2022,,330,"Мощность лампы (до), Вт",,,,,,Мощность лампы (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,8,03/22/2022,,331,"Мощность, Вт",,,,,,Мощность,Мощность,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,8,,,332,Мощность (до),,,,,,Мощность (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,Изменено название,333,"Общая мощность, Вт",,,"Суммарная мощность ЛОН, Вт","Общая мощность, W","Мощность, Вт [POWER]",Макс. мощность системы,"Общая мощность, Вт",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,"Мощность, Вт",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,Номин. мощность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,Выход. Мощность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,55,334,"Общая мощность LED, Вт",,,"Суммарная мощность LED, Вт",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,10,,56,335,"Мощность ленты на 1м, Вт/м",,,"Мощность ленты на один метр, Вт/м",,"Мощность 1м, Вт [POWER_1METR]",Мощность источников света на 1 метр погонный,,,,,,Автоматическая сортировка
Электрические,6,11,,,336,"Мощность модуля, Вт",,,,,"Мощность модуля, Вт [moshchnost_na_modul]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,12,,60,337,"Ток, А/м",,,,,"Ток, А/м [tok_am]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,13,03/22/2022,,338,"Номин. Ток, А",,,,,,Номин. Ток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,14,,,339,"Максимальный ток, А",,,,,"Максимальный ток, А [max_tok]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,14,,65,340,"Максимальный ток на канал, А",,,,,"Максимальный ток на канал, А [max_tok_kanal]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,14,,62,341,"Максимальный выходной ток (на канал), А",,,,,"Максимальный выходной ток, А [output_current]",Выходной ток,,,,,,Автоматическая сортировка
Электрические,6,14,,,,"Максимальный выходной ток (на канал), А",,,,,,"Выход. ток, А",,,,,,Автоматическая сортировка
Электрические,6,14,03/22/2022,,,"Максимальный выходной ток (на канал), А",,,,,,Макс. выход. Ток,,,,,,Автоматическая сортировка
Электрические,6,15,,61,342,"Выходной ток, мА",,,"Выходная сила тока на канал, мА",,"Выходной ток, мА [Vihodnoy_tok_ma]",Выход. ток,,,,,,Автоматическая сортировка
Электрические,6,16,03/22/2022,,343,"Выходной ток (до), А",,,,,,Выходной ток (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,16,,,,"Выходной ток (до), А",,,,,,"Выходной ток (до), А",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,17,,64,344,"Выходной ток драйвера, мА",,,,,"Выходной ток драйвера, мА [vyhodnoy_tok_drayvera_ma]",,,,,,,Автоматическая сортировка
Электрические,6,,,,345,Шина передачи данных по силовым проводам,,,,,,Шина передачи данных по силовым проводам,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,346,Шина передачи данных LON,,,,,,Шина передачи данных LON,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,347,Шина передачи данных KNX радио,,,,,,Шина передачи данных KNX радио,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,348,Шина передачи данных KNX,,,,,,Шина передачи данных KNX,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,349,"Частота, МГц",,,,,,Частота,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,350,"Частота (до), МГц",,,,,,Частота (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,351,Характеристики драйвера,,,,,Характеристики драйвера [harakteristiki_drayvera],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,352,Функция выключения,,,,,,Функция выключения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,353,Управляюшее напряжение (до),,,,,,Управляюшее напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,354,Управляюшее напряжение,,,,,,Управляюшее напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,355,Управление цветом (RGB),,,,,,Управление цветом (RGB),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,356,Управление (изменение) цветовой температурой,,,,,,Управление (изменение) цветовой температурой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,357,Тип управляющего аппарата (ПРА),,,,,,Тип управляющего аппарата (ПРА),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,67,358,Тип управления,,,Тип ДУ,Пульт ДУ,Тип управления [tip_upravleniya],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,359,Тип тока,,,,,,Тип тока,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,360,Тип регулировки,,,,,,Тип регулировки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,361,Тип напряжения,,,,,,Тип напряжения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,74,362,Тип диммирования,,,,,Тип диммирования [tip_dimmirovaniya],Тип диммирования,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,71,363,Тип датчика,,,,,Тип датчика [tip_datchika],Тип датчика,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,364,Тип выход. напряжения,,,,,,Тип выход. напряжения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,365,Схема подключения,,,,,,Схема подключения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,51,366,Степень защиты чаши крепления,Чаша крепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,367,Стабилизированное,,,,,,Стабилизированное,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,368,Способ подключения,,,,,,Способ подключения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,369,Специальное питание,,,,,,Специальное питание,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,370,Сигнальный контакт состояния,,,,,,Сигнальный контакт состояния,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,371,С шунтом (перемычкой),,,,,,С шунтом (перемычкой),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,372,С датчиком движения,,,,,,С датчиком движения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,373,Ручное переключение,,,,,,Ручное переключение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,374,Режим аварийного освещения,,,,,,Режим аварийного освещения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,375,Регулируемый дифференциал,,,,,,Регулируемый дифференциал,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,376,Регулировка порога срабатывания по чувствительности,,,,,,Регулировка порога срабатывания по чувствительности,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,377,"Размер секции, мм",,,,,"Размер секции, мм [razmer_sekcii]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,378,Радиочастотная шина передачи данных,,,,,,Радиочастотная шина передачи данных,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,379,Радиосистема,,,,,,Радиосистема,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,380,Рабочее напряжение (до),,,,,,Рабочее напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,381,Рабочее напряжение,,,,,,Рабочее напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,382,Производитель чипа,,,,,Производитель чипа [proizvoditel_chipa],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Электрические,6,,,,383,Программируемый,,,,,,Программируемый,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,384,Принцип работы,,,,,,Принцип работы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,385,ПРА в комплекте,,,,,,ПРА в комплекте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,386,Потребление энергии в режиме ожидания,,,,,,Потребление энергии в режиме ожидания,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,387,Потери на разветвлении при 860 МГц,,,,,,Потери на разветвлении при 860 МГц,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,388,Потери на разветвлении при 2150 МГц,,,,,,Потери на разветвлении при 2150 МГц,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,389,Потери в ответвителе при 860 МГц,,,,,,Потери в ответвителе при 860 МГц,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,390,Потери в ответвителе при 2150 МГц,,,,,,Потери в ответвителе при 2150 МГц,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,391,Потенциометр диммирования (встроенный),,,,,,Потенциометр диммирования (встроенный),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,392,Постоянный контроль освещённости,,,,,,Постоянный контроль освещённости,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,393,Подхватывание фазы,,,,,,Подхватывание фазы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,394,"Подключаем. нагрузка (потребляем. мощность), Вт",,,,,,Подключаем. нагрузка (потребляем. мощность),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,395,Питание через шину/трек,,,,,,Питание через шину/трек,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,396,Питание,,,,,Питание [pitanie],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,397,"Первичное/вход. напряжение (до), В",,,,,,"Первичное/вход. напряжение (до), В",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,398,Первичное/вход. напряжение,,,,,,Первичное/вход. напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,399,"Первичное&#47;вход. Напряжение, В",,,,,,Первичное&#47;вход. Напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,400,"Первичное&#47;вход. напряжение (до), В",,,,,,Первичное&#47;вход. напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,401,Номин. ток утечки,,,,,,Номин. ток утечки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,402,Номин. ток розетки,,,,,,Номин. ток розетки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,403,"Номин. раб. напряжение (до), В",,,,,,Номин. раб. напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,404,"Номин. напряжение (до), В",,,,,,Номин. напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,405,"Номин. мощность (до), Вт",,,,,,Номин. мощность (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,72,406,Наличие сенсора,,,,,Наличие сенсора [nalichie_sensora],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,76,407,Наличие вентилятора,,,,,Наличие вентилятора [nalichie_ventilyatora],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,408,Модульная ширина (общ. кол-во модульных расстояний),,,,,,Модульная ширина (общ. кол-во модульных расстояний),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,409,Мин. значение диапазона измерения,,,,,,Мин. значение диапазона измерения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,57,410,"Максимальная мощность ленты на 1м, Вт/м",,,,,"Максимальная мощность ленты на 1м, Вт [maks_mosht_na_1m_vt]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,411,Макс. управляющий ток,,,,,,Макс. управляющий ток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,412,"Макс. ток коммутируем. резистивной нагрузки, А",,,,,,Макс. ток коммутируем. резистивной нагрузки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,413,Макс. напряжение прикосновения,,,,,,Макс. напряжение прикосновения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,414,Макс. коммутируем. ток,,,,,,Макс. коммутируем. ток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,415,"Макс. коммутационная мощность (подключ. нагрузка), Вт",,,,,,Макс. коммутационная мощность (подключ. нагрузка),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,416,Макс. количество переключающих контактов,,,,,,Макс. количество переключающих контактов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,417,Макс. значение диапазона измерения,,,,,,Макс. значение диапазона измерения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,418,"Макс. дальность действия (фронтально), м",,,,,,"Макс. дальность действия (фронтально), м",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,419,"Макс. выход. Ток, мА",,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,83,420,"КПД, %",,,,,КПД [kpd],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,82,421,"Коэффициент мощности, PF",,,,,PF [PF],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,422,Контрольное оборудование,,,,,,Контрольное оборудование,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,423,"Коммутируем. Напряжение, В",,,,,,Коммутируем. Напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,424,"Коммутируем. напряжение (до), Вт",,,,,"Коммутируем. напряжение (до), Вт",Коммутируем. напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,425,"Коммутируем. Нагрузка, Вт",,,,,,Коммутируем. Нагрузка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,426,Коммутируем. нагрузка для люминесц. ламп,,,,,,Коммутируем. нагрузка для люминесц. ламп,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,427,Коммутируем. нагрузка (до),,,,,,Коммутируем. нагрузка (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,428,"Коммутируем. Мощность, Вт",,,,,,Коммутируем. Мощность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,429,"Коммутируем. мощность (до), Вт",,,,,,Коммутируем. мощность (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,430,Коммутируем. мощность (вентиляция и климат) (до),,,,,,Коммутируем. мощность (вентиляция и климат) (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,431,Коммутируем. мощность (вентиляция и климат),,,,,,Коммутируем. мощность (вентиляция и климат),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,432,Количество фаз,,,Количество фаз,,,Количество фаз,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,433,Количество питаемых линий,,,,,,Количество питаемых линий,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,66,434,"Количество каналов, шт",,,"Количество каналов, шт",,"Кол-во каналов, шт [kolichestvovo_kanalov]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,86,435,"Количество зон управления, шт",,,,,"Количество зон управления, шт [kolvo_zon_upravl]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,436,Количество групп/фаз,,,,,,Количество групп/фаз,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,437,Количество выходов,,,,,,Количество выходов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,438,Количество входов,,,,,,Количество входов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,439,Класс энергоэффективности стационарной встроенной лампы,,,,,,Класс энергоэффективности стационарной встроенной лампы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,49,440,Класс электрозащиты,Класс Электрозащиты,,,,,,Класс электро-безопасности,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,,Класс электрозащиты,КлассЭлектрозащиты,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,441,Импульсно-зажигающее устройство (ИЗУ),,,,,,Импульсно-зажигающее устройство (ИЗУ),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,442,ИЗУ в комплекте,,,,,,ИЗУ в комплекте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,443,Защитный круглый контакт (штырь) заземления,,,,,,Защитный круглый контакт (штырь) заземления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,444,Защитный контакт,,,,,,Защитный контакт,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,75,445,Защита от превышения входного напряжения,,,,,Защита от превышения входного напряжения [zashchita_ot_vhod_napryazh],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,446,Защита от перенапряжения,,,,,,Защита от перенапряжения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,69,447,Защита от перегрузки,,,,,Защита от перегрузки [zashchita_ot_peregruzki],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,70,448,Защита от перегрева,,,,,Защита от перегрева [zashchita_ot_peregreva],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,68,449,Защита от КЗ,,,,,Защита от КЗ [protection_kz],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,450,Другие шинные системы,,,,,,Другие шинные системы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,87,451,"Длина волны, нм",,,,,"Длина волны, нм [dlina_volny_nm]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,452,Дифференциальные значения (до),,,,,,Дифференциальные значения (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,453,Дифференциальные значения,,,,,,Дифференциальные значения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,454,Дифференциальная защита по току,,,,,,Дифференциальная защита по току,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,455,Диммирование с отсечкой фазы по переднему фронту,,,,,,Диммирование с отсечкой фазы по переднему фронту,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,456,Диммирование с отсечкой фазы по заднему фронту,,,,,,Диммирование с отсечкой фазы по заднему фронту,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,457,Диммирование посредством нажимной кнопки,,,,,,Диммирование посредством нажимной кнопки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,458,Диммирование касанием,,,,,,Диммирование касанием,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,459,Диммирование RF,,,,,,Диммирование RF,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,460,Диммирование DMX,,,,,,Диммирование DMX,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,461,Диммирование DALI,,,,,,Диммирование DALI,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,462,Диммирование 1-10 В,,,,,,Диммирование 1-10 В,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,463,Диммирование 0-10 В,,,,,,Диммирование 0-10 В,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,73,464,Диммирование,,,Диммирование [dimmirovanie],Диммер,Диммирование [dimmirovanie],Диммируемый (-ая),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,59,465,"Диапазон выходных напряжений драйвера, В",,,,,"Диапазон выходных напряжений драйвера, В [dia_vyhod_napryaz_drayvera]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,466,Датчик освещенности,,,,Датчик освещенности,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,467,Датчик движения,,,,Датчик движения,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,84,468,Выходной сигнал,,,,,Выходной сигнал [vihodnoy_signal],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,469,"Выходной диапазон напряжений драйвера, В",,,,,"Выходной диапазон напряжений драйвера, В [vyh_dia_napryazh_drayvera]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,58,470,"Выходное напряжение, В",,,"Выходное напряжение, В",,"Выходное напряжение, В [output_voltage]",Выход. напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,471,"Выход. напряжение, В",,,,,,"Выход. напряжение, В",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,472,"Выход. напряжение (до), В",,,,,,Выход. напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,473,Выход. мощность (до),,,,,,Выход. мощность (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,474,"Вход. напряжение, В",,,,,,"Вход. напряжение, В",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,03/22/2022,,475,"Вторичное напряжение, В",,,,,,Вторичное напряжение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,476,Возможность увеличения мощности,,,,,,Возможность увеличения мощности,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,477,Возможность подключения в сеть,,,,,,Возможность подключения в сеть,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,478,Без функции диммирования,,,,,,Без функции диммирования,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,85,479,Батарея,,,,,Батарея [battery],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,,,,480,HVAC/климат-контроль,,,,,,HVAC/климат-контроль,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,29,481,"Ширина монтажного отверстия, мм",ШиринаМонтажногоОтверстияВстраиваемогоСветильника,,"Ширина основания (отверстия встройки), мм",,"Ширина встройки, мм [Shirina_vstroiki]",Ширина установочная (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,26,482,Форма монтажного отверстия,ФормаМонтажногоОтверстияВстраиваемогоСветильника,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,483,Установка в кабель-канал,,,,,,Установка в кабель-канал,,,,Не отображать в общем фильтре,,Автоматическая сортировка
