Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Монтаж,7,,,22,484,Тип монтажа,ТипМонтажаВстраиваемогоСветильника,Тип монтажа,"Монтаж, Врезной / Накладной",,Тип монтажа [mounting_type],Тип монтажа (способ установки).,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,,Тип монтажа,,,,,,Способ монтажа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,25,485,Тип крепления к потолку,ТипПотолочногоКрепления,,"Крепление, На планку / На крюк / Пружинное",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,486,Тип крепления,,,,,,Тип крепления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,487,Способ монтажа,,,,,Способ монтажа [sposob_montaj],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,488,С монтажной скобой,,,,,,С монтажной скобой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,24,489,Помещения,Типы помещении,,Зона размещения,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,490,Подходит для установки в пол,,,,,,Подходит для установки в пол,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,491,Подходит для установки в кабель-канал,,,,,,Подходит для установки в кабель-канал,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,492,Подходит для степени защиты (IP),,,,,,Подходит для степени защиты (IP),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,493,Подходит для скрытого монтажа (заподлицо),,,,,,Подходит для скрытого монтажа (заподлицо),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,494,Подходит для сенсорных разъёмов шинной системы,,,,,,Подходит для сенсорных разъёмов шинной системы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,495,Подходит для светодиодной ленты,,,,,,Подходит для светодиодной ленты,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,496,Подходит для рабочего места с монитором EN 12464-1,,,,,,Подходит для рабочего места с монитором EN 12464-1,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,497,Подходит для прокладки сквозной проводки,,,,,,Подходит для прокладки сквозной проводки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,498,Подходит для постоянного тока,,,,,,Подходит для постоянного тока,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,499,Подходит для постоянного напряжения,,,,,,Подходит для постоянного напряжения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,500,Подходит для подвесного монтажа,,,,,,Подходит для подвесного монтажа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,501,Подходит для печей/ духовых шкафов,,,,,,Подходит для печей/ духовых шкафов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,502,Подходит для организации световых линий,,,,,,Подходит для организации световых линий,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,503,Подходит для низковольтной кабельной системы,,,,,,Подходит для низковольтной кабельной системы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,33,504,Подходит для натяжных потолков,,,,Подходит для натяжных потолков,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,505,Подходит для монтажа на шинопровод для систем освещения (трек),,,,,,Подходит для монтажа на шинопровод для систем освещения (трек),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,506,Подходит для монтажа на траверсе,,,,,,Подходит для монтажа на траверсе,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,507,Подходит для монтажа на стену,,,,,,Подходит для монтажа на стену,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,508,Подходит для монтажа на потолке,,,,,,Подходит для монтажа на потолке,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,509,Подходит для монтажа на постаменте/полу,,,,,,Подходит для монтажа на постаменте/полу,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,510,Подходит для монтажа на поверхность (накладной),,,,,,Подходит для монтажа на поверхность (накладной),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,511,Подходит для модульных устройств (ЭУИ),,,,,,Подходит для модульных устройств (ЭУИ),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,512,Подходит для ламп мощностью,,,,,,Подходит для ламп мощностью,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,513,Подходит для количества гнезд/разъемов,,,,,,Подходит для количества гнезд/разъемов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,514,Подходит для кабельного модема,,,,,,Подходит для кабельного модема,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,515,Подходит для использования вне помещений (уличн.),,,,,,Подходит для использования вне помещений (уличн.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,516,Подходит для зажимного монтажа,,,,,,Подходит для зажимного монтажа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,517,Подходит для дистанционного питания,,,,,,Подходит для дистанционного питания,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,518,Подходит для дизайнерских решений,,,,,,Подходит для дизайнерских решений,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,519,Подходит для встроенного монтажа,,,,,,Подходит для встроенного монтажа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,520,Подходит для беспроводной передачи,,,,,,Подходит для беспроводной передачи,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,521,Подходит для аварийного освещения,,,,,,Подходит для аварийного освещения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,522,Ориентация монтажа,,,,,,Ориентация монтажа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,523,Монтаж скрытый (под штукатурку),,,,,,Монтаж скрытый (под штукатурку),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,524,Монтаж на поверхность (открытый),,,,,,Монтаж на поверхность (открытый),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,525,Монтаж на поверхность,,,,,,Монтаж на поверхность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,526,Монтаж в напольную коробку/под полом,,,,,,Монтаж в напольную коробку/под полом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,527,Мин. глубина встраивания монтажной коробки,,,,,,Мин. глубина встраивания монтажной коробки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,23,528,Место установки,,,,Место установки,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,529,Изолированный монтаж,,,,,,Изолированный монтаж,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,530,Длина монтажной коробки,,,,,,Длина монтажной коробки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,30,531,"Длина монтажного отверстия, мм",ДлинаМонтажногоОтверстияВстраиваемогоСветильника,,"Длина основания (отверстия встройки), мм",,,Длина установочная (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,532,Диаметр отверстия,,,,,,Диаметр отверстия,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,27,533,"Диаметр монтажного отверстия, мм",ДиаметрМонтажногоОтверстияВстраиваемогоСветильника,Монтажное отверстие,"Диаметр основания (отверстия встройки), мм",Диаметр врезного отверстия (мм),Монтажное отверстие [montazhnoe_otverstie],,"Светильник Диаметр врезного отверстия, мм",,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,28,534,"Глубина монтажного отверстия, мм",ГлубинаМонтажногоОтверстияВстраиваемогоСветильника,Глубина,"Глубина (высота) основания (отверстия встройки), мм",,"Глубина встройки, мм [glubina_vstroyki]",Высота/глубина монтажная (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,,"Глубина монтажного отверстия, мм",,,,,,Глубина установочная (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,,"Глубина монтажного отверстия, мм",,,,,,"Глубина установочная, мм",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,535,Высота установочная (встраив.),,,,,,Высота установочная (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Монтаж,7,,,,535,Встраиваемый,,,,,,Встраиваемый,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,03/22/2022,13,535,"Срок службы, ч",,,"Срок службы, ч",,"Срок службы, ч [srok_sluzhby]",Средн. номин. срок службы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,03/22/2022,,535,"Средн. номин. срок службы, ч.",,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,,,535,"Номинальный срок службы L70/B50 при 25 °C, ч.",,,,,,"Номинальный срок службы L70/B50 при 25 °C, ч.",,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,03/22/2022,,535,"Номинальный срок службы L70&#47;B50 при 25 °C, ч.",,,,,,Номинальный срок службы L70&#47;B50 при 25 °C,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,,,535,Номинальное время работы (до),,,,,,Номинальное время работы (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,,,535,Номинальное время работы,,,,,,Номинальное время работы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,,,535,Номин. время работы,,,,,,Номин. время работы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Срок службы, гарантия",8,,,14,535,"Гарантия, лет",Гарантия,,,Гарантия,Гарантия [garantiya],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Рекомендации,9,,,80,535,Рекомендуемая лента,,,,,Рекомендуемая лента [rekomenduemaya_lenta],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Рекомендации,9,,,,535,С этим товаром рекомендуем,,,,,С этим товаром рекомендуем [RECOMMEND],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,brand_name,brand_name,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,cartons_dimensions,cartons_dimensions,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,categoryId,categoryId,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,count_denominator,,count_denominator,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,delivery,delivery,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,iES-файл,,,iES-файл,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,lampshade_top_diameter,lampshade_top_diameter,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,manufacturer_warranty,manufacturer_warranty,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,priority,,priority,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Активность,,,,,Активность,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Базовая единица измерения количества,,Базовая единица измерения количества,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,119,535,"Вес брутто, кг",ВесБрутто,,,"Вес брутто, кг",,,"Вес брутто, кг.",,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,новый,535,"Вес нетто, гр",,,,,"Вес, гр. [WEIGHT]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,118,535,"Вес нетто, кг",ВесНетто,Вес,"Масса, кг","Вес нетто, кг",,"Вес, кг","Вес нетто, кг.",,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Вид,,Вид,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Видимость на витрине,,Видимость на витрине,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Выбор вариантов товара,,Выбор вариантов товара,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,112,535,"Высота упаковки, мм",,,,"Высота, мм (упаковка)",,,"Коробка Высота, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,115,535,Габариты,,Габариты,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,ДваВОдном,ДваВОдном,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Дизайнер,,,,Дизайнер,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,110,535,"Длина упаковки, мм",,,,"Длина, мм (упаковка)",,,"Коробка Длина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Доступны дополнит. светотехнические аксессуары,,,,,,Доступны дополнит. светотехнические аксессуары,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Другие модели,,,,,Другие модели [OTHER_MODELS],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Единица измерения,,,,,Единица измерения,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Зачеркнутая цена,,Зачеркнутая цена,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,17,535,Качество,,,,,Качество [kachestvo],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,"Класс пожаробезопасности ""М"" для мебельных светильников",,,,,,"Класс пожаробезопасности ""М"" для мебельных светильников",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,"Класс пожаробезопасности ""ММ"" для мебельных светильников",,,,,,"Класс пожаробезопасности ""ММ"" для мебельных светильников",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Класс пожаробезопасности светильника D,,,,,,Класс пожаробезопасности светильника D,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,19,535,Код ТНВЭД,КодТНВЭД,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Количество в упаковке,,,Количество в упаковке,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Кратность заказа поставщику,,,,,,Кратность заказа поставщику,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Минимальное количество для заказа,,Минимальное количество для заказа,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Название позиции внутреннее,,,Название позиции внутреннее,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Наклейка,,Наклейка,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Не содержит (без) галогенов,,,,,,Не содержит (без) галогенов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Новинки/распродажа,,,Новинки/распродажа,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Описания изображений товаров,,Описания изображений товаров,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Особенная характеристика,,,,,,Особенная характеристика,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Особенность,,Особенность,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Особые отметки,,Особые отметки,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,535,Поставщик,Поставщик,Поставщик,Поставщик,Поставщик,Поставщик,Поставщик,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,78,535,Рабочий диапазон влажности,,,,,Рабочий диапазон влажности [humidity_range],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,77,535,"Рабочий диапазон температур, ̊С",,,,,"Рабочий даипазон температур, ̊С [temperature_range]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,535,Размер изменения количества кнопками «+/-»,,Размер изменения количества кнопками «+/-»,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,113,535,"Размеры (ДхШхВ), мм",,,,,"Размеры (ДхШхВ), мм [dimensions]",,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,114,,"Размеры (ДхШхВ), мм",,,,,"Размеры, мм [PROPORTIONS]",,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,536,Сертификат,,,,Сертификат,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,537,Складская единица измерения количества,,Складская единица измерения количества,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,538,Соотношение складской и базовой единиц измерения количества,,Соотношение складской и базовой единиц измерения количества,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,539,Старое наименование на сайте,,Старое наименование на сайте,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,540,Статус,,Статус,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,541,Теги,,Теги,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,542,Технологии,Технологии,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,543,Тип,,,,,Тип [tip],,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,153,544,Тип дерева,,,,,Тип дерева [tip_dereva],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Прочие,10,,,,545,УчастникТВПрограммы,УчастникТВПрограммы,,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,,546,Шаг добавления в корзину,,Шаг добавления в корзину,,,,,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Прочие,10,,,111,547,"Ширина упаковки, мм",,,,"Ширина, мм (упаковка)",,,"Коробка Ширина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Основные,1,,,,549,Bus module detachable (*),,,,,,Bus module detachable (*),,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
,,,,,,Акция и распродажа,,,,,,,Акция и распродажа,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Комментарий,,,,,,,Комментарий,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Изготовитель,,,,,,,Изготовитель,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Назначение,,,,,,,Назначение,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Назначение на сайте,,,,,,,Назначение на сайте,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Линия,,,,,,,Линия,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип цоколя лампы,,,,,,,Тип цоколя лампы,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет LED,,,,,,,Цвет LED,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Напряжение питания, В",,,,,,,"Напряжение питания, В",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Площадь освещения, кв.м",,,,,,,"Площадь освещения, кв.м",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип выключателя,,,,,,,Тип выключателя,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет,,,,,,,Цвет,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Материал,,,,,,,Материал,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет арматуры для КТ,,,,,,,Цвет арматуры для КТ,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип поверхности арматуры,,,,,,,Тип поверхности арматуры,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет плафона для КТ,,,,,,,Цвет плафона для КТ,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип поверхности плафонов,,,,,,,Тип поверхности плафонов,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Вид декора,,,,,,,Вид декора,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Материал декора,,,,,,,Материал декора,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет декора,,,,,,,Цвет декора,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Цвет декора для КТ,,,,,,,Цвет декора для КТ,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Влагозащищенность,,,,,,,Влагозащищенность,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Класс защиты,,,,,,,Класс защиты,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Температурный режим,,,,,,,Температурный режим,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Гарантия, месяцы",,,,,,,"Гарантия, месяцы",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Дополнительные параметры и особенности,,,,,,,Дополнительные параметры и особенности,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип светильника по конструкции,,,,,,,Тип светильника_По конструкции,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип светильника по способу крепления,,,,,,,Тип светильника_По способу крепления,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Тип светильника по помещению,,,,,,,Тип светильника_По помещению,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,Дизайн на сайте,,,,,,,Дизайн на сайте,,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Высота без цепи, мм",,,,,,,"Светильник Высота без цепи, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Отступ от стены (глубина), мм",,,,,,,"Светильник Отступ от стены (глубина), мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Угол поворота, град",,,,,,,"Светильник Угол поворота, град",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка вторая Длина, мм",,,,,,,"Коробка вторая Длина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка вторая Высота, мм",,,,,,,"Коробка вторая Высота, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка вторая Ширина, мм",,,,,,,"Коробка вторая Ширина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка третья Длина, мм",,,,,,,"Коробка третья Длина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка третья Высота, мм",,,,,,,"Коробка третья Высота, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Коробка третья Ширина, мм",,,,,,,"Коробка третья Ширина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Мастербокс Длина, мм",,,,,,,"Мастербокс Длина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Мастербокс Высота, мм",,,,,,,"Мастербокс Высота, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Мастербокс Ширина, мм",,,,,,,"Мастербокс Ширина, мм",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Мастербокс, шт.",,,,,,,"Мастербокс, шт.",,,Не отображать в общем фильтре,Не отображать в карточке товара,
,,,,,,"Объем, куб.м.",,,,,,,"Объем, куб.м.",,,Не отображать в общем фильтре,Не отображать в карточке товара,
